id,name,title,img,twitter,slides_url
dwhalen,Danny Whalen,"The evolution of a GTFS data pipeline",https://pbs.twimg.com/profile_images/507955752346976256/o7jSxiIT.jpeg,invisiblefunnel,
cbrosseau,Carli Brosseau,"How do I get that? Strategies for requesting data and negotiating for it",https://www.google.com/imgres?imgurl=https%3A%2F%2Flh6.googleusercontent.com%2F-BTw4_3ARJ4g%2FAAAAAAAAAAI%2FAAAAAAAAAEY%2F2Tvf51mEzNs%2Fphoto.jpg&imgrefurl=https%3A%2F%2Fplus.google.com%2F104823147284278372388%2Fabout&docid=ba61zjXO5qAKDM&tbnid=LnAxBtI8GxPXWM%3A&vet=1&w=512&h=512&itg=1&bih=1240&biw=1943&q=carli%20brosseau&ved=0ahUKEwj3noiG8I3SAhUO24MKHQEsCRUQMwghKAUwBQ&iact=mrc&uact=8#h=512&imgrc=LnAxBtI8GxPXWM:&vet=1&w=512,carlibrosseau,
wlyon,William Lyon,"Analyzing The Trumpworld Graph: Applying Network Analysis to Public Data",https://pbs.twimg.com/profile_images/502931400882794496/Dy9gq9V2.jpeg,lyonwj,
mpclaypotch,"Matt 'Potch' Claypotch","A Better 'Edit' Button for GitHub-Hosted Data",http://bits.potch.me/headshot.jpg,potch,
eschles,Eric Schles,"Changing the world with data. With combatting human trafficking as an example.",https://avatars2.githubusercontent.com/u/928957?v=3&s=460,EricSchles,
mreeve,Mouse Reeve,"The Art and Science of Generative Nonsense",https://pbs.twimg.com/profile_images/807784644682752001/TjYal1Zv.jpg,tripofmice,
lwinfree,Lilly Winfree,"DIPpering the data: open source tools for data integration", http://www.ohsu.edu/xd/education/library/about/staff-directory/lilly-winfree.cfm,lilscientista,
rchampieux,Robin Champieux,"Reproducible and reusable research: Data sharing policies & community driven strategies for improving the status quo",,rchampieux,
ncawley,Noah Cawley,"Can we process all this decentralized data, decentrally?",,,
dorbach,Daniel Orbach,"The Journey to a better bar graph, and beyond",http://www.momentdesign.com/wp-content/uploads/2016/10/thumbnail-template-2_0039_150803_moment_0822-225x225.jpg,orbachdl,
pwalsh,Paul Walsh,"What's next in open data? The limits of the publication discourse",https://www.dropbox.com/s/0ztlj59bezhxuxc/avatar-2.jpg?dl=0,_pwalsh,
ebuth,Eric Buth,"Open Data Networks with Fieldkit",https://s3.amazonaws.com/buth-projects/ocr-headshot.jpg,ericbuth,
areines,Athan Reines,"Math, Numeric Computing, and JavaScript",https://avatars3.githubusercontent.com/u/2643044?v=3&s=460,kgryte,
ebusboom,Eric Busboom,"Metatab: Metadata for Mortals",https://www.icloud.com/sharedalbum/#B02G6XBubGsUNYc,civicknowledge,
